Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.2126565	1.6801875	4.7397394	-2.129404	71.7	61.15235	223.0	0.0	1000.0	2132.0	0.07106666666666667	0.6139918	0.54479474	1.9923056	-1.2351801	-0.43906578	0.119459875	0.08884477	-0.8007351	1.6018749e-08	0.03564927	4.7683717e-08	0.007848355	0.81053513	-0.68249863	114.5648	-71.197235	0	0	1.0	1.8378769	0.06713339	30000	21.20233988761902
1	1.5687602	2.7461505	8.055877	-1.8354244	75.2	49.035294	206.0	0.0	1000.0	4430.0	0.07383333333333333	0.30171418	0.43721685	1.5190473	-1.1174146	6.078772	4.6783266	17.417004	-3.9539933	0.0	0.043979235	0.0	0.0100926785	0.24899039	-0.050671555	34.913563	-7.0290346	0	0	1.0	1.8383188	0.06536003	60000	42.75364279747009
2	3.0080502	4.0344872	11.937947	-2.869207	69.45	38.096554	145.0	0.0	1000.0	6653.0	0.07392222222222222	0.27880895	0.54778105	1.666267	-1.3580871	7.9292583	4.7752	19.74835	-1.9243745	1.0430813e-08	0.005636742	2.682209e-08	0.0022804607	0.25842804	-0.022097327	31.679352	-4.6780005	0	0	1.0	1.8384256	0.012924065	90000	62.45806002616882
3	1.1533903	2.6417441	9.858054	-2.8343542	87.9	58.66592	276.0	0.0	1000.0	9180.0	0.0765	0.18328679	0.5175948	1.7926005	-1.2342852	8.043	5.3551164	22.768335	-2.6636386	-2.9802323e-09	0.0006219834	1.4901161e-08	0.0010639539	0.13338019	-0.022620087	36.442688	-4.689248	0	0	1.0	1.8385897	0.0049195625	120000	86.4353187084198
4	1.2051562	2.1388366	5.5853634	-1.7184964	57.55	42.944702	166.0	0.0	1000.0	10869.0	0.07246	0.14150852	0.5005071	1.4852557	-1.3106517	7.31555	5.3469443	27.141058	-2.3082023	-1.3411045e-08	-0.00070693495	1.7881394e-08	0.004268831	0.12872534	-0.00983766	26.069508	-4.731687	0	0	1.0	1.8390366	0.0036325238	150000	106.19069123268127
5	1.7573321	3.2437418	9.926338	-2.9256313	103.85	72.21792	281.0	0.0	1000.0	13766.0	0.07647777777777778	0.1847262	0.48662272	1.643836	-1.0755175	8.21746	5.881552	28.214098	-2.2882717	5.9604646e-09	-0.00836312	-1.7881394e-08	0.0036102086	0.19356254	-0.034524627	50.703804	-10.662843	0	0	79.0	1.8394378	0.005692585	180000	135.3817756175995
6	2.067595	2.6100159	7.4760895	-2.4400597	66.05	48.601933	197.0	0.0	1000.0	15852.0	0.07548571428571428	0.1815304	0.4964418	1.8734188	-1.023219	8.036435	6.1443334	30.95233	-3.9271758	2.9802323e-09	-0.009108076	-4.172325e-08	0.004786036	0.12938718	-0.024627531	33.586338	-4.6287374	0	0	79.0	1.8130146	0.006591814	210000	168.21128249168396
7	3.4660072	3.3410766	13.241606	-1.909017	96.5	39.330013	182.0	12.0	1000.0	18868.0	0.07861666666666667	0.31675506	0.55237573	1.9804456	-0.87445045	9.588805	5.84507	31.102173	-1.0918282	1.0430813e-08	-0.002242431	-1.3411045e-08	-5.0918945e-05	0.20261726	-0.039171882	38.800488	-6.374615	0	0	5.0	1.7878186	0.0023266096	240000	193.15753769874573
8	4.235782	3.1634383	10.592366	-1.275857	82.45	48.553555	180.0	0.0	1000.0	21477.0	0.07954444444444445	0.438275	0.5726566	2.2137096	-0.7186987	10.097484	5.072109	29.5783	-1.8002282	-5.9604646e-09	0.00030708656	-1.1920929e-08	0.0017062807	0.15682909	-0.019385332	36.04325	-6.581073	0	0	1.0	1.7865331	0.002492384	270000	217.59120559692383
9	6.220866	3.4234073	13.816332	-0.3895877	110.35	44.108135	211.0	35.0	1000.0	24512.0	0.08170666666666666	0.5101226	0.5575745	2.1098623	-0.79480886	10.737451	5.4483986	31.795946	0.121688664	1.1920929e-08	-0.0005620668	-2.682209e-08	0.0009808668	0.19842155	-0.036154114	40.3575	-5.8867064	0	0	1.0	1.7859462	0.00447639	300000	242.63454961776733
10	5.7782736	3.3266892	13.104053	1.7052844	112.8	57.35817	246.0	35.0	1000.0	27785.0	0.0841969696969697	0.5576693	0.5260989	2.0398102	-0.6195141	10.382563	5.910683	32.62424	-0.87809306	-7.450581e-09	-0.00081845804	1.7881394e-08	0.000587692	0.17334351	-0.029580718	45.19526	-6.0229278	0	0	1.0	1.7854408	0.0007048786	330000	267.7425320148468
11	4.7402234	3.421072	11.606722	-1.390935	95.35	35.810997	145.0	25.0	1000.0	30910.0	0.08586111111111111	0.61891484	0.5799499	2.114491	-0.6654202	11.2783165	5.7907457	34.413372	0.26743978	-1.7881394e-08	-0.0013779628	4.4703485e-09	0.0010311544	0.1946925	-0.06915231	38.47863	-5.056947	0	0	1.0	1.7850536	0.0014450594	360000	293.4307293891907
12	6.120729	3.7451315	16.151834	-0.90792465	126.65	42.71917	244.0	74.0	1000.0	34327.0	0.08801794871794871	0.5805728	0.5315721	1.9978557	-0.659146	11.329423	5.9047656	33.996887	-3.1184328	1.7881394e-08	-0.0007407476	-3.576279e-08	-0.0002399981	0.21927361	-0.053225815	38.22897	-5.446832	0	0	1.0	1.7846997	0.0008789286	390000	318.84063148498535
13	6.2965527	2.778009	11.8430395	1.6705698	100.15	43.27271	201.0	15.0	1000.0	37308.0	0.08882857142857142	0.67020816	0.54511005	2.2711601	-0.61031795	10.890446	5.772874	33.342785	-1.0536835	1.1920929e-08	-0.001979669	-4.172325e-08	0.00016822507	0.19635424	-0.040395934	41.30065	-7.066807	0	0	1.0	1.7844245	0.002699778	420000	345.0014953613281
14	6.0958824	3.256699	12.922636	2.176882	101.05	39.974335	194.0	27.0	1000.0	40174.0	0.08927555555555555	0.64168227	0.58347106	2.2448769	-0.6603718	10.912204	5.682322	34.133648	-1.3752662	8.940697e-09	-0.0009502835	-7.450581e-09	0.0007036563	0.16271007	-0.02728644	34.8639	-6.101812	0	0	1.0	1.7840679	0.0004793092	450000	370.85115575790405
15	6.3460846	3.856395	12.678729	-1.4355004	106.15	28.335976	155.0	37.0	1000.0	43198.0	0.08999583333333333	0.6457788	0.57825464	2.184334	-0.58964777	10.043463	6.0618653	33.237404	-1.4768953	0.0	-0.0010791546	5.9604646e-09	-0.0015035121	0.15831915	-0.029579004	34.35102	-7.1172767	0	0	1.0	1.7837616	0.00085908565	480000	396.3734414577484
16	6.4592414	2.9956703	13.46739	1.2473717	96.9	48.44368	254.0	48.0	1000.0	46132.0	0.09045490196078432	0.6215463	0.5723706	2.0583158	-0.67104065	10.818395	5.3683767	32.950092	-2.4564939	-5.9604646e-09	-0.0011907739	-2.9802323e-09	-0.00089990423	0.15711996	-0.027634388	41.055016	-10.604299	0	0	1.0	1.7835133	0.0007368941	510000	421.9532663822174
17	6.5831633	3.8268242	15.340346	-0.13550147	105.55	38.717537	167.0	29.0	1000.0	49014.0	0.09076666666666666	0.7394472	0.58340406	2.2779872	-0.6960807	10.689126	5.4439144	31.733618	-3.3447719	8.940697e-09	-0.009024508	-4.7683717e-08	-0.0024804818	0.23015726	-0.033802684	36.170135	-9.650289	0	0	79.0	1.7831768	0.0065984996	540000	453.88432002067566
18	8.0609045	2.8365784	14.018922	2.5269165	122.3	58.538105	256.0	46.0	1000.0	52364.0	0.09186666666666667	0.797729	0.6030308	2.5949838	-0.62472916	10.906372	5.451933	32.17866	-1.6108555	5.9604646e-09	-0.009647082	3.8743018e-08	-0.0052320557	0.17678991	-0.0318973	43.63198	-10.427473	0	0	79.0	1.7448661	0.0065631894	570000	482.672810792923
19	10.765634	3.3831663	16.521109	4.8303814	102.35	39.779736	182.0	23.0	1000.0	55448.0	0.09241333333333333	0.9375957	0.56598574	2.517531	-0.5469291	10.70625	5.642341	36.326805	-2.9571412	-1.1920929e-08	-0.008443503	5.5134297e-08	-0.004250716	0.20705433	-0.030905878	34.816536	-10.14124	0	0	79.0	1.7169014	0.006152469	600000	511.110146522522
20	11.087418	3.8163884	19.737139	3.6595511	95.4	30.394737	173.0	40.0	1000.0	58105.0	0.09223015873015873	1.0678434	0.556572	2.4298577	-0.5116617	10.838486	5.765423	33.083057	-4.2762375	-1.4901161e-09	-0.007468817	-1.7881394e-08	-0.0049981126	0.2163722	-0.04156644	28.677074	-9.187689	0	0	79.0	1.6832596	0.006654178	630000	539.4278705120087
21	12.218339	4.0724816	19.638748	3.5214505	73.2	32.418514	135.0	16.0	1000.0	60331.0	0.09141060606060607	1.2218436	0.5825363	2.4623604	-0.47077844	9.103661	4.696843	30.082588	-0.41372132	1.4901161e-09	-0.0010754359	1.1920929e-08	-0.0026757296	0.21010375	-0.041479807	26.551891	-7.1548185	0	0	19.0	1.6527447	0.006794316	660000	562.6616475582123
22	13.309921	3.3693962	20.723955	7.1178465	96.55	32.368927	170.0	36.0	1000.0	63087.0	0.09143043478260869	1.3435867	0.6111354	2.7722445	-0.6120708	8.851762	4.785908	31.360563	-3.6873095	-9.685754e-09	0.00764084	2.9802322e-08	0.0009632498	0.18790647	-0.044426125	26.241558	-7.460971	0	0	1.0	1.6415167	0.017089013	690000	584.4471092224121
23	13.182215	4.586459	23.8737	3.6426113	102.15	37.909466	171.0	13.0	1000.0	66044.0	0.09172777777777778	1.3480792	0.6022008	2.5991776	-0.40708074	9.57354	5.176986	32.955544	-3.929016	-3.7252903e-09	0.0009676893	-2.9802323e-09	0.0004540844	0.23882742	-0.038723897	29.179646	-9.26711	0	0	1.0	1.6403106	0.00605731	720000	606.1859693527222
24	14.3849535	3.0335538	20.201052	7.8242407	86.65	39.036232	183.0	36.0	1000.0	68657.0	0.09154266666666666	1.4398252	0.5893517	2.622541	-0.45483577	10.180305	5.2949266	35.795677	-3.4480724	-1.4901161e-09	0.0012605183	-1.7881394e-08	-0.005194385	0.18187603	-0.036645673	31.4083	-9.496019	0	0	1.0	1.6391357	0.009009821	750000	627.776576757431
